Title,Url,Date,Author,Publisher
"Palestinian Leader Calls on ICC to Speed Up Israeli War Crimes Trial",https://sputnikglobe.com/20231203/palestinian-leader-calls-on-icc-to-speed-up-israeli-war-crimes-trial--reports-1115353279.html,3/12/2023,John Macdougall,Sputnik
"Israel Shells Lebanon in Retaliatory Move",https://sputnikglobe.com/20231204/israel-shells-lebanon-in-retalitory-move--statement--1115368224.html,4/12/2023,Menahem Kahana,Sputnik
"Israel-Palestine conflict: A brief history in maps and charts",https://www.aljazeera.com/news/2023/11/27/palestine-and-israel-brief-history-maps-and-charts,27/11/2023,Mohammed Haddad, Alia Chughtai,Aljazeera
